branch,program_name,is_eligible
Scientific,Biology and Biotechnology,True
Scientific,Mathematics,True
Scientific,Mathematics and Data Science,True
Scientific,Physics,True
Scientific,Applied Physics Technology,True
Scientific,Chemistry,True
Scientific,Applied Chemistry,True
Scientific,Molecular Diagnostics Technology,True
Scientific,Arabic Language and Literature,True
Scientific,English Language and Literature,True
Scientific,French Language,True
Scientific,History,True
Scientific,Geography,True
Scientific,Tourism and Archaeology,True
Scientific,Psychology – Psychological Counseling,True
Scientific,Social Work,True
Scientific,Physical Education,True
Scientific,Kindergarten,True
Scientific,Elementary School Teacher,True
Scientific,Jurisprudence and Legislation,True
Scientific,Fundamentals of Religion,True
Scientific,Islamic Banking,True
Scientific,Civil Engineering,True
Scientific,Geomatic Engineering,True
Scientific,Architectural Engineering,True
Scientific,Construction Engineering,True
Scientific,Planning Engineering,True
Scientific,Mechanical Engineering,True
Scientific,Chemical Engineering,True
Scientific,Industrial Engineering,True
Scientific,Computer Engineering,True
Scientific,Electrical Engineering,True
Scientific,Mechatronics Engineering,True
Scientific,Energy and Environmental Engineering,True
Scientific,Network Engineering,True
Scientific,Computer Science,True
Scientific,Computer Science in the Job Market,True
Scientific,Management Information Systems,True
Scientific,Cybersecurity,True
Scientific,Human Medicine,True
Scientific,Dentistry,True
Scientific,Pharmacy,True
Scientific,Optometry,True
Scientific,Medical Laboratory Sciences,True
Scientific,Medical Imaging,True
Scientific,Audiology and Speech Sciences,True
Scientific,Physical Therapy,True
Scientific,Cardiopulmonary Perfusion Technology,True
Scientific,Anesthesia and Resuscitation,True
Scientific,Nursing,True
Scientific,Midwifery,True
Scientific,Digital Economy,True
Scientific,Digital Media and Communication,True
Scientific,Radio and Television,True
Scientific,Public Relations,True
Scientific,Accounting,True
Scientific,Business Administration,True
Scientific,Financial and Banking Sciences,True
Scientific,Financial Technology,True
Scientific,Digital Marketing and Communication,True
Scientific,Investment and Real Estate Development,True
Scientific,Business Intelligence,True
Scientific,Veterinary Medicine,True
Scientific,Nutrition and Food Processing,True
Scientific,Agricultural Engineering,True
Scientific,Law,True
Scientific,Political Science,True
Scientific,Music,True
Scientific,Interior Design,True
Scientific,Painting and Drawing,True
Scientific,Graphic Design,True
Scientific,Ceramic Art,True
Scientific,Game Design,True
Scientific,Fashion Design,True
Scientific,Therapeutic Expressive Art,True
Literary,Management Information Systems,True
Literary,Digital Economy,True
Literary,Digital Media and Communication,True
Literary,Radio and Television,True
Literary,Public Relations,True
Literary,Accounting,True
Literary,Business Administration,True
Literary,Financial and Banking Sciences,True
Literary,Financial Technology,True
Literary,Digital Marketing and Communication,True
Literary,Investment and Real Estate Development,True
Literary,Business Intelligence,True
Literary,Arabic Language and Literature,True
Literary,English Language and Literature,True
Literary,French Language,True
Literary,History,True
Literary,Geography,True
Literary,Tourism and Archaeology,True
Literary,Psychology – Psychological Counseling,True
Literary,Social Work,True
Literary,Physical Education,True
Literary,Kindergarten,True
Literary,Elementary School Teacher,True
Literary,Music,True
Literary,Interior Design,True
Literary,Painting and Drawing,True
Literary,Graphic Design,True
Literary,Ceramic Art,True
Literary,Game Design,True
Literary,Fashion Design,True
Literary,Therapeutic Expressive Art,True
Literary,Jurisprudence and Legislation,True
Literary,Fundamentals of Religion,True
Literary,Islamic Banking,True
Literary,Law,True
Sharia,Management Information Systems,True
Sharia,Digital Economy,True
Sharia,Digital Media and Communication,True
Sharia,Radio and Television,True
Sharia,Public Relations,True
