question_id,type,category,code,text,order
q1,likert,social_factors,1,أوافق بشدة,1
q1,likert,social_factors,2,أوافق,2
q1,likert,social_factors,3,محايد,3
q1,likert,social_factors,4,لا أوافق,4
q1,likert,social_factors,5,لا أوافق بشدة,5
q2,multiple_choice,social_factors,1,نعم,1
q2,multiple_choice,social_factors,2,لا,2
q2,multiple_choice,social_factors,3,ربما,3
q3,likert,social_factors,1,أوافق بشدة,1
q3,likert,social_factors,2,أوافق,2
q3,likert,social_factors,3,محايد,3
q3,likert,social_factors,4,لا أوافق,4
q3,likert,social_factors,5,لا أوافق بشدة,5
q4,multiple_choice,social_factors,1,نعم,1
q4,multiple_choice,social_factors,2,لا,2
q4,multiple_choice,social_factors,3,يعتمد,3
q5,likert,social_factors,1,أوافق بشدة,1
q5,likert,social_factors,2,أوافق,2
q5,likert,social_factors,3,محايد,3
q5,likert,social_factors,4,لا أوافق,4
q5,likert,social_factors,5,لا أوافق بشدة,5
q6,multiple_choice,social_factors,1,أختاره,1
q6,multiple_choice,social_factors,2,أبحث عن بديل,2
q6,multiple_choice,social_factors,3,أختار تخصصًا قريبًا منه,3
q7,multiple_choice,social_factors,1,منخفض,1
q7,multiple_choice,social_factors,2,متوسط,2
q7,multiple_choice,social_factors,3,مرتفع,3
q8,likert,personality,1,أوافق بشدة,1
q8,likert,personality,2,أوافق,2
q8,likert,personality,3,محايد,3
q8,likert,personality,4,لا أوافق,4
q8,likert,personality,5,لا أوافق بشدة,5
q9,likert,personality,1,أوافق بشدة,1
q9,likert,personality,2,أوافق,2
q9,likert,personality,3,محايد,3
q9,likert,personality,4,لا أوافق,4
q9,likert,personality,5,لا أوافق بشدة,5
q10,likert,personality,1,أوافق بشدة,1
q10,likert,personality,2,أوافق,2
q10,likert,personality,3,محايد,3
q10,likert,personality,4,لا أوافق,4
q10,likert,personality,5,لا أوافق بشدة,5
q11,likert,personality,1,أوافق بشدة,1
q11,likert,personality,2,أوافق,2
q11,likert,personality,3,محايد,3
q11,likert,personality,4,لا أوافق,4
q11,likert,personality,5,لا أوافق بشدة,5
q12,likert,personality,1,أوافق بشدة,1
q12,likert,personality,2,أوافق,2
q12,likert,personality,3,محايد,3
q12,likert,personality,4,لا أوافق,4
q12,likert,personality,5,لا أوافق بشدة,5
