feature,importance
general_average,0.04297276896863074
gpa_percentile,0.039782425101767264
core_subject_average,0.03735130032997532
gpa_to_core_ratio,0.03228752596996635
core_avg_percentile,0.027324530508146323
q37,0.0237720007567069
q17,0.02276237322435097
interest_Engineering,0.02241518662935678
branch_Sharia,0.022092483785004682
branch_Entrepreneurship and Business,0.021528219700087642
interest_Law,0.020804955057529304
num_eligible_programs,0.020500489392582852
q16,0.020177638116201713
q35,0.019689572835536226
q19,0.018089028382716782
interest_Business,0.017001948274131415
interest_Humanities,0.01669079466202677
q32,0.01624321374488031
branch_Hotel and Home Economics,0.016110696417503293
branch_Literary,0.015941846882211348
interest_Medicine,0.015761224819472966
q33,0.01440701611000665
q36,0.01337497087325793
q4,0.013203421994225651
interest_Fine Arts,0.011522151848819091
q21,0.011134051255505924
eligible_Elementary School Teacher,0.011021011191268628
interest_Science,0.010648309049222825
interest_Digital Economy,0.010010396877140408
branch_Agricultural,0.009636042253748528
interest_Nursing,0.009526149079414835
branch_Industrial,0.009431684786565857
q14,0.009177534091235442
interest_Pharmacy,0.008924357523268197
interest_Anesthesia and Resuscitation,0.008901947102019123
q18,0.00870607050777915
interest_Medical Laboratory Sciences,0.008424356814724903
interest_Cardiopulmonary Perfusion Technology,0.007927412272470569
interest_Audiology and Speech Sciences,0.007480421421338121
q10,0.007049410309982602
eligible_Veterinary Medicine,0.006948208447966396
q12,0.006801059315727215
q28,0.006772036877494869
q2,0.006634053715476634
q8,0.006622732633186464
q6,0.005973984530007428
interest_Medical Imaging,0.00575533006975022
q27,0.005698394132576003
q9,0.005688366624610986
eligible_Anesthesia and Resuscitation,0.005551896814497146
q1,0.005440859843137873
q25,0.005418656482007108
interest_Optometry,0.00539397392395174
q3,0.005254934850034899
interest_Computer Science,0.0052528263899190766
gpa_bin_80-90,0.005205158769491367
eligible_Agricultural Engineering,0.00510510649429987
q26,0.005043441455233832
branch_Scientific,0.004959258843320054
q23,0.004881328463631598
interest_Digital Media and Communication,0.0048168553856425544
q29,0.004787290629829376
q20,0.00451370765770339
eligible_Cardiopulmonary Perfusion Technology,0.004400390931047694
q22,0.004302300180228128
q13,0.00430065382846612
eligible_Applied Chemistry,0.0042455379157144745
eligible_Medical Laboratory Sciences,0.004083627517459646
core_avg_bin_90-100,0.00401916381481344
q31,0.003973232788773455
q24,0.003926838941297667
eligible_Computer Science,0.003917661915566691
eligible_Dentistry,0.003867237413756805
core_avg_bin_80-90,0.0037598368183574464
interest_Sharia,0.0037423740437110046
q34,0.0037089892461966228
q30,0.0037016633533301087
eligible_Physics,0.0036631772515951415
eligible_Midwifery,0.003657284580723276
eligible_Optometry,0.0036447233754356013
eligible_Nutrition and Food Processing,0.0035338413555461023
interest_Computer Science in the Job Market,0.0035180819949496966
eligible_Molecular Diagnostics Technology,0.0035132707247750375
q7,0.003425396393081141
q5,0.003415414992951875
q15,0.003351917097013677
interest_Midwifery,0.003278680203790483
q11,0.0032510643084485576
eligible_Construction Engineering,0.003227130289619276
eligible_Industrial Engineering,0.0030739592738730026
eligible_Biology and Biotechnology,0.0030535242923322176
core_avg_bin_60-70,0.0030512117903829074
eligible_Chemistry,0.0029531907614870657
eligible_Law,0.002908549463741947
eligible_Applied Physics Technology,0.0028825301243041676
gpa_bin_70-80,0.00281272098234351
eligible_Political Science,0.002807569566540404
eligible_Mechanical Engineering,0.0027695955890329887
eligible_Energy and Environmental Engineering,0.002769140441975724
eligible_Computer Engineering,0.0027420113587827474
eligible_Mathematics,0.0026703022304296934
eligible_Cybersecurity,0.0026465338532927984
eligible_Architectural Engineering,0.0026434045706763827
eligible_Physical Therapy,0.002634523855648358
core_avg_bin_70-80,0.002566392429601765
gpa_bin_60-70,0.002555586718334225
eligible_Mechatronics Engineering,0.002511228113645132
eligible_Network Engineering,0.00243945856911483
interest_Physical Therapy,0.002220123515430464
eligible_Audiology and Speech Sciences,0.002164843940391644
eligible_Human Medicine,0.0021086311531182786
interest_Computer Engineering,0.002049922175235719
branch_Information Technology,0.001981956026034855
gpa_bin_90-100,0.0019460206679968084
eligible_Computer Science in the Job Market,0.0016093692710662825
eligible_Nursing,0.0016020960491436112
eligible_Medical Imaging,0.0015724753575596002
eligible_Islamic Banking,0.0015629538314643724
eligible_Mathematics and Data Science,0.001542208259909085
eligible_Chemical Engineering,0.0015100388564726825
eligible_Digital Economy,0.0013570251011205017
eligible_Electrical Engineering,0.0013489241310713123
eligible_Geomatic Engineering,0.0012974894965395447
eligible_Planning Engineering,0.001214667629340187
eligible_Social Work,0.0010579050774765768
eligible_Physical Education,0.0010410353225865105
eligible_Fashion Design,0.0010085850753619357
eligible_Pharmacy,0.0009808287248040176
eligible_Public Relations,0.00093585591573521
eligible_Civil Engineering,0.0009353383004650834
eligible_Arabic Language and Literature,0.0009141055407481867
eligible_Digital Media and Communication,0.000733769980672324
eligible_Game Design,0.0007217172279265485
eligible_Ceramic Art,0.0006410955442131015
gpa_bin_<60,0.00045541181864948525
eligible_History,0.0004343501541877749
eligible_Investment and Real Estate Development,0.00042853854642092794
eligible_Graphic Design,0.0003817559109293475
eligible_Jurisprudence and Legislation,0.00037059755405101813
eligible_Therapeutic Expressive Art,0.000354049429094738
eligible_Interior Design,0.0003526636119755197
eligible_Music,0.0003496291008821103
eligible_Financial and Banking Sciences,0.00032522216035245344
core_avg_bin_<60,0.0002477065255292027
eligible_Kindergarten,0.00021634907357981448
eligible_Business Intelligence,0.00021289907097891855
eligible_Painting and Drawing,0.00020358245176538894
eligible_English Language and Literature,0.00020058426894286287
eligible_Digital Marketing and Communication,0.00019450500602680547
eligible_Financial Technology,0.00018854722439807449
eligible_Accounting,0.0001512164473003221
eligible_Radio and Television,0.0001207529523986489
eligible_Business Administration,0.00010798130161789087
eligible_French Language,0.00010134222066403599
eligible_Geography,9.276756969541766e-05
eligible_Management Information Systems,8.438000886895132e-05
eligible_Psychology – Psychological Counseling,4.579294925748426e-05
