feature,importance
general_average,0.03379210727766698
gpa_percentile,0.03354903916000328
core_avg_percentile,0.028986893271316535
core_subject_average,0.0286698207647673
gpa_to_core_ratio,0.025662842706275817
interest_Engineering,0.023566931951723546
interest_Law,0.023116740985125034
interest_Business,0.019794176293688216
interest_Medicine,0.019466705694919054
interest_Humanities,0.018978603409833424
q19,0.017654338339509128
q17,0.016613030126430766
interest_Digital Economy,0.015262531682596597
interest_Fine Arts,0.01521574851523618
q33,0.01497630058169331
interest_Nursing,0.014910167515458072
q35,0.014806152405063838
interest_Cardiopulmonary Perfusion Technology,0.014734493751464689
q16,0.014689070178865804
q4,0.01454609467733065
interest_Pharmacy,0.014335495748199452
interest_Anesthesia and Resuscitation,0.014182396761123412
interest_Medical Laboratory Sciences,0.013978375018605141
interest_Science,0.013666070325213409
interest_Medical Imaging,0.013171106529195637
q37,0.012338403929555286
q32,0.012335635341792947
q36,0.012334287167795088
q21,0.012156461400359357
q14,0.01213844949467007
interest_Audiology and Speech Sciences,0.011911373871313148
q18,0.011890693370326971
q28,0.011246750673905289
branch_Entrepreneurship and Business,0.0106427152642857
q8,0.010240174940544983
branch_Literary,0.010239375948881854
branch_Hotel and Home Economics,0.009983856713684916
q6,0.009869707327686971
q30,0.009770028308798641
q1,0.00968773236249563
q20,0.009626391677090534
q13,0.009625542429055875
q10,0.0095893147771491
q12,0.009513670226938416
q5,0.00949813030958804
q3,0.00948651472299386
q15,0.009461205043057277
q23,0.009404950270866012
q26,0.00937585923742622
q7,0.00934261706410223
q31,0.009320385656499102
interest_Midwifery,0.009073549656324379
q25,0.009020303912217089
interest_Digital Media and Communication,0.008809368451573422
q24,0.00868298149027134
q9,0.008673282231854143
q29,0.008666108428692162
branch_Sharia,0.008457307335316645
num_eligible_programs,0.008299414429615178
q34,0.008049332928705926
q27,0.007658081906631542
interest_Computer Science,0.007345820235882779
q2,0.007266676896333142
interest_Computer Engineering,0.007154196364720397
q22,0.007093488946830984
interest_Optometry,0.007037092813373404
interest_Computer Science in the Job Market,0.006964772132897293
interest_Sharia,0.006797006875222604
interest_Physical Therapy,0.006684440185232272
q11,0.00653349131135479
branch_Agricultural,0.0059398590160604295
branch_Scientific,0.005664755019474397
eligible_Agricultural Engineering,0.005064265312605194
branch_Industrial,0.0039623409376732055
gpa_bin_60-70,0.003908432371241955
core_avg_bin_60-70,0.0038388587727065547
eligible_Veterinary Medicine,0.00355900765625017
core_avg_bin_70-80,0.0034764765638960336
gpa_bin_70-80,0.0033248057907683025
gpa_bin_80-90,0.0032713140358491795
core_avg_bin_80-90,0.003265325542661403
core_avg_bin_90-100,0.0030884602866995126
gpa_bin_90-100,0.0028432966792091927
eligible_Law,0.002757632262869003
eligible_Computer Engineering,0.001250176155920779
eligible_Optometry,0.0012484728321621144
eligible_Applied Chemistry,0.0012142191799617544
eligible_Nursing,0.0011965719458088763
eligible_Medical Laboratory Sciences,0.0011798516019278248
eligible_Cybersecurity,0.0011707633755972965
eligible_Anesthesia and Resuscitation,0.0011570990352369514
eligible_Midwifery,0.0011511358675695877
